recno,HD,HR,HIP,Fl,Bayer,Cst,SimbadName
1,28,3,443,33,,Psc,HD     28
2,87,4,476,86,,Peg,HD     87
3,144,7,531,10,,Cas,HD    144
4,315,11,635,4,,Cet,HD    315
5,352,14,664,5,,Cet,HD    352
6,358,15,677,21,alf,And,HD    358
7,432,21,746,11,bet,Cas,HD    432
8,448,22,729,87,,Peg,HD    448
9,493,24,761,,kap01,Scl,HD    493
10,496,25,765,,eps,Phe,HD    496
11,560,26,813,34,,Psc,HD    560
12,571,27,841,22,,And,HD    571
13,636,30,814,,gam03,Oct,HD    636
14,693,33,910,6,,Cet,HD    693
15,720,34,930,,kap02,Scl,HD    720
16,739,35,950,,the,Scl,HD    739
17,886,39,1067,88,gam,Peg,HD    886
18,905,41,1086,23,,And,HD    905
19,1013,45,1168,89,chi,Peg,HD   1013
20,1038,48,1170,7,,Cet,HD   1038
21,1061,50,1196,35,,Psc,HD   1061
22,1227,59,1319,36,,Psc,HD   1227
23,1280,63,1366,24,the,And,HD   1280
24,1317,,1392,38,,Psc,HD   1317
25,1337,65,1415,,AO,Cas,HD   1337
26,1404,68,1473,25,sig,And,HD   1404
27,1438,70,1501,26,,And,HD   1438
28,1522,74,1562,8,iot,Cet,HD   1522
29,1563,,1595,40,,Psc,HD   1563
30,1581,77,1599,,zet,Tuc,HD   1581
31,1635,80,1645,41,d,Psc,HD   1635
32,1671,82,1686,27,rho,And,HD   1671
33,1685,83,1647,,pi.,Tuc,HD   1685
34,1737,84,1708,,iot,Scl,HD   1737
35,1760,85,1728,,T,Cet,HD   1760
36,1796,86,1772,42,,Psc,HD   1796
37,1835,88,1803,9,,Cet,HD   1835
39,2011,93,1960,12,,Cas,HD   2011
40,2051,,1902,,ksi,Tuc,HD   2051
41,2114,97,2006,44,,Psc,HD   2114
42,2140,,2025,45,,Psc,HD   2140
43,2151,98,2021,,bet,Hyi,HD   2151
44,2261,99,2081,,alf,Phe,HD   2261
45,2262,100,2072,,kap,Phe,HD   2262
46,2273,101,2100,10,,Cet,HD   2273
47,2410,,2213,46,,Psc,HD   2410
48,2411,103,2219,47,TV,Psc,HD   2411
49,2429,105,2210,,eta,Scl,HD   2429
50,2436,106,2224,48,,Psc,HD   2436
51,2628,114,2355,28,,And,HD   2628
52,2637,117,2353,12,,Cet,HD   2637
53,2729,121,2474,13,,Cas,HD   2729
54,2772,123,2505,14,lam,Cas,HD   2772
55,2834,125,2472,,lam01,Phe,HD   2834
56,2884,126,2484,,bet01,Tuc,HD   2884
57,2885,127,2487,,bet02,Tuc,HD   2885
58,2905,130,2599,15,kap,Cas,HD   2905
59,2910,131,2568,52,,Psc,HD   2910
60,2913,132,2548,51,,Psc,HD   2913
61,3003,136,2578,,bet03,Tuc,HD   3003
62,3038,137,2707,16,,Cas,HD   3038
63,3112,139,2629,,the,Tuc,HD   3112
64,3196,142,2762,13,,Cet,HD   3196
65,3229,143,2787,14,,Cet,HD   3229
66,3302,147,2802,,lam02,Phe,HD   3302
67,3360,153,2920,17,zet,Cas,HD   3360
68,3369,154,2912,29,pi.,And,HD   3369
69,3379,155,2903,53,,Psc,HD   3379
70,3512,,2994,15,,Cet,HD   3512
71,3546,163,3031,30,eps,And,HD   3546
72,3627,165,3092,31,del,And,HD   3627
73,3651,166,3093,54,,Psc,HD   3651
74,3690,167,3138,55,,Psc,HD   3690
75,3712,168,3179,18,alf,Cas,HD   3712
76,3817,175,3231,32,,And,HD   3817
77,3901,179,3300,19,ksi,Cas,HD   3901
78,3919,180,3245,,mu.,Phe,HD   3919
79,3980,183,3277,,ksi,Phe,HD   3980
80,4058,184,3414,20,pi.,Cas,HD   4058
81,4065,185,3356,,lam01,Scl,HD   4065
82,4089,187,3330,,rho,Tuc,HD   4089
83,4128,188,3419,16,bet,Cet,HD   4128
84,4142,189,3478,68,,Cas,HD   4142
85,4150,191,3405,,eta,Phe,HD   4150
86,4161,192,3572,21,YZ,Cas,HD   4161
87,4180,193,3504,22,omi,Cas,HD   4180
88,4188,194,3455,17,phi01,Cet,HD   4188
89,4211,195,3456,,lam02,Scl,HD   4211
90,4307,203,3559,18,,Cet,HD   4307
91,4382,208,3721,23,,Cas,HD   4382
92,4408,211,3632,57,,Psc,HD   4408
93,4482,213,3675,58,,Psc,HD   4482
94,4490,214,3685,59,,Psc,HD   4490
95,4502,215,3693,34,zet,And,HD   4502
96,4526,216,3697,60,,Psc,HD   4526
97,4568,217,3730,61,,Psc,HD   4568
98,4614,219,3821,24,eta,Cas,HD   4614
99,4627,221,3760,62,,Psc,HD   4627
100,4636,223,3801,25,nu.,Cas,HD   4636
101,4656,224,3786,63,del,Psc,HD   4656
102,4676,225,3810,64,,Psc,HD   4676
103,4727,226,3881,35,nu.,And,HD   4727
104,4757,230,3885,65,i,Psc,HD   4757
106,4813,235,3909,19,phi02,Cet,HD   4813
107,4815,236,3781,,lam,Hyi,HD   4815
108,4919,242,3949,,rho,Phe,HD   4919
109,5112,248,4147,20,,Cet,HD   5112
110,5190,252,4084,,lam01,Tuc,HD   5190
111,5234,253,4292,26,ups01,Cas,HD   5234
112,5267,254,4267,66,,Psc,HD   5267
113,5268,255,4257,21,,Cet,HD   5268
114,5286,258,4288,36,,And,HD   5286
115,5382,262,4366,67,k,Psc,HD   5382
116,5394,264,4427,27,gam,Cas,HD   5394
117,5395,265,4422,28,ups02,Cas,HD   5395
118,5437,267,4371,22,phi03,Cet,HD   5437
119,5448,269,4436,37,mu.,And,HD   5448
120,5457,270,4293,,lam02,Tuc,HD   5457
121,5516,271,4463,38,eta,And,HD   5516
122,5575,274,4510,68,h,Psc,HD   5575
123,5679,,4843,,ups,Cep,HD   5679
124,5722,279,4587,23,phi04,Cet,HD   5722
125,5737,280,4577,,alf,Scl,HD   5737
126,5848,285,5372,2,,UMi,HD   5848
127,6055,288,4770,,ksi,Scl,HD   6055
128,6116,290,4903,39,,And,HD   6116
129,6118,291,4889,69,sig,Psc,HD   6118
130,6178,293,4852,,sig,Scl,HD   6178
131,6186,294,4906,71,eps,Psc,HD   6186
132,6192,295,4829,,ome,Phe,HD   6192
133,6203,296,4914,25,,Cet,HD   6203
134,6288,301,4979,26,,Cet,HD   6288
135,6386,307,5074,73,,Psc,HD   6386
136,6397,308,5081,72,,Psc,HD   6397
137,6456,310,5131,74,psi01,Psc,HD   6456
138,6457,311,5132,74,psi01,Psc,HD   6457
139,6476,,5175,76,,Psc,HD   6476
140,6479,313,5141,77,,Psc,HD   6479
141,6480,314,5144,77,,Psc,HD   6480
142,6482,315,5121,27,,Cet,HD   6482
143,6530,317,5164,28,,Cet,HD   6530
144,6557,319,5204,75,,Psc,HD   6557
145,6582,321,5336,30,mu.,Cas,HD   6582
146,6595,322,5165,,bet,Phe,HD   6595
147,6658,324,5317,41,,And,HD   6658
148,6680,327,5319,78,,Psc,HD   6680
149,6695,328,5310,79,psi02,Psc,HD   6695
150,6706,329,5296,30,,Cet,HD   6706
151,6734,,5315,29,,Cet,HD   6734
152,6763,330,5346,80,e,Psc,HD   6763
153,6767,331,5300,,ups,Phe,HD   6767
154,6793,332,5268,,iot,Tuc,HD   6793
155,6805,334,5364,31,eta,Cet,HD   6805
156,6811,335,5434,42,phi,And,HD   6811
157,6829,336,5518,31,,Cas,HD   6829
158,6860,337,5447,43,bet,And,HD   6860
159,6882,338,5348,,zet,Phe,HD   6882
160,6903,339,5454,81,psi03,Psc,HD   6903
161,6920,340,5493,44,,And,HD   6920
162,6961,343,5542,33,the,Cas,HD   6961
163,6972,345,5589,32,,Cas,HD   6972
164,6976,346,5485,32,,Cet,HD   6976
165,7014,347,5510,33,,Cet,HD   7014
166,7019,348,5550,45,,And,HD   7019
167,7034,349,5544,82,g,Psc,HD   7034
168,7087,351,5571,84,chi,Psc,HD   7087
169,7106,352,5586,83,tau,Psc,HD   7106
170,7147,353,5594,34,,Cet,HD   7147
171,7218,,5646,35,,Cet,HD   7218
172,7318,360,5742,85,phi,Psc,HD   7318
173,7344,361,5737,86,zet,Psc,HD   7344
174,7345,362,5743,86,zet,Psc,HD   7345
175,7374,364,5778,87,,Psc,HD   7374
176,7439,366,5799,37,,Cet,HD   7439
177,7446,367,5824,88,,Psc,HD   7446
178,7476,368,5833,38,,Cet,HD   7476
179,7570,370,5862,,nu.,Phe,HD   7570
180,7672,373,5951,39,,Cet,HD   7672
181,7727,,5985,40,,Cet,HD   7727
183,7788,377,5896,,kap,Tuc,HD   7788
184,7804,378,6061,89,f,Psc,HD   7804
185,7927,382,6242,34,phi,Cas,HD   7927
186,7964,383,6193,90,ups,Psc,HD   7964
187,8003,384,6312,35,,Cas,HD   8003
188,8036,385,6226,42,,Cet,HD   8036
189,8126,389,6315,91,l,Psc,HD   8126
190,8207,390,6411,46,ksi,And,HD   8207
191,8335,393,6429,43,,Cet,HD   8335
192,8374,395,6514,47,,And,HD   8374
193,8491,399,6692,36,psi,Cas,HD   8491
194,8511,401,6539,44,,Cet,HD   8511
195,8512,402,6537,45,the,Cet,HD   8512
196,8538,403,6686,37,del,Cas,HD   8538
197,8705,412,6670,46,,Cet,HD   8705
198,8723,413,6706,93,rho,Psc,HD   8723
199,8763,414,6732,94,,Psc,HD   8763
200,8799,417,6813,48,ome,And,HD   8799
201,8829,421,6748,47,,Cet,HD   8829
202,8875,,6815,95,,Psc,HD   8875
203,8879,423,6759,,R,Scl,HD   8879
204,8890,424,11767,1,alf,UMi,HD   8890
205,9021,427,7078,38,,Cas,HD   9021
206,9053,429,6867,,gam,Phe,HD   9053
207,9057,430,6999,49,A,And,HD   9057
208,9100,432,6981,97,,Psc,HD   9100
209,9132,433,6960,48,,Cet,HD   9132
210,9138,434,7007,98,mu.,Psc,HD   9138
211,9270,437,7097,99,eta,Psc,HD   9270
212,9362,440,7083,,del,Phe,HD   9362
213,9408,442,7294,39,chi,Cas,HD   9408
214,9656,,7364,100,,Psc,HD   9656
215,9672,451,7345,49,,Cet,HD   9672
216,9766,455,7436,101,,Psc,HD   9766
217,9774,456,7650,40,,Cas,HD   9774
218,9826,458,7513,50,ups,And,HD   9826
219,9856,459,7450,50,,Cet,HD   9856
220,9906,462,7463,,tau,Scl,HD   9906
221,9919,463,7535,102,pi.,Psc,HD   9919
222,9927,464,7607,51,,And,HD   9927
223,10072,469,7719,52,chi,And,HD  10072
224,10135,,7710,104,,Psc,HD  10135
225,10144,472,7588,,alf,Eri,HD  10144
226,10164,475,7740,105,,Psc,HD  10164
227,10205,477,7818,53,tau,And,HD  10205
228,10221,478,7965,43,,Cas,HD  10221
229,10250,480,8016,42,,Cas,HD  10250
230,10360,486,7751,,p,Eri,HD  10360
232,10380,489,7884,106,nu.,Psc,HD  10380
233,10425,491,8046,44,,Cas,HD  10425
234,10476,493,7981,107,,Psc,HD  10476
235,10516,496,8068,,phi,Per,HD  10516
236,10537,497,7955,,pi.,Scl,HD  10537
237,10647,506,7978,,q01,Eri,HD  10647
238,10697,508,8159,109,,Psc,HD  10697
239,10700,509,8102,52,tau,Cet,HD  10700
240,10761,510,8198,110,omi,Psc,HD  10761
241,10830,514,8209,,eps,Scl,HD  10830
242,10845,515,8271,3,,Ari,HD  10845
243,10859,516,7879,,tau01,Hyi,HD  10859
244,10934,519,8240,120,,Phe,HD  10934
245,10939,520,8241,,q02,Eri,HD  10939
246,10982,522,8387,4,,Ari,HD  10982
247,11154,530,8544,1,,Ari,HD  11154
249,11171,531,8497,53,chi,Cet,HD  11171
250,11241,533,8704,1,,Per,HD  11241
251,11257,534,8588,54,,Cet,HD  11257
252,11291,536,8714,2,,Per,HD  11291
253,11353,539,8645,55,zet,Cet,HD  11353
254,11415,542,8886,45,eps,Cas,HD  11415
255,11428,543,8814,55,,And,HD  11428
256,11443,544,8796,2,alf,Tri,HD  11443
257,11502,546,8832,5,gam01,Ari,HD  11502
259,11529,548,9009,46,ome,Cas,HD  11529
260,11559,549,8833,111,ksi,Psc,HD  11559
261,11604,550,8366,,tau02,Hyi,HD  11604
262,11636,553,8903,6,bet,Ari,HD  11636
263,11695,555,8837,,psi,Phe,HD  11695
264,11733,,8751,,eta01,Hyi,HD  11733
265,11749,557,9021,56,,And,HD  11749
266,11753,558,8882,,phi,Phe,HD  11753
267,11763,559,8993,7,,Ari,HD  11763
268,11909,563,9110,8,iot,Ari,HD  11909
269,11930,565,9061,56,,Cet,HD  11930
270,11937,566,9007,,chi,Eri,HD  11937
271,11949,568,9222,3,,Per,HD  11949
272,11973,569,9153,9,lam,Ari,HD  11973
273,11977,570,8928,,eta02,Hyi,HD  11977
274,12020,,9165,58,,Cet,HD  12020
275,12021,,9155,58,,Cet,HD  12021
276,12111,575,9480,48,A,Cas,HD  12111
277,12211,,9383,,chi,Tri,HD  12211
278,12216,580,9598,50,,Cas,HD  12216
279,12230,581,9727,47,,Cas,HD  12230
280,12235,582,9353,112,,Psc,HD  12235
281,12255,583,9326,57,,Cet,HD  12255
282,12274,585,9347,59,ups,Cet,HD  12274
283,12279,586,9564,52,,Cas,HD  12279
284,12301,589,9573,53,,Cas,HD  12301
285,12303,590,9505,4,g,Per,HD  12303
286,12311,591,9236,,alf,Hyi,HD  12311
287,12339,592,9763,49,,Cas,HD  12339
288,12363,593,8991,,sig,Hyi,HD  12363
289,12438,594,9440,,pi.,For,HD  12438
290,12446,595,9487,113,alf,Psc,HD  12446
292,12471,599,9570,3,eps,Tri,HD  12471
293,12524,602,9459,,chi,Phe,HD  12524
294,12533,603,9640,57,gam01,And,HD  12533
296,12558,605,9621,10,,Ari,HD  12558
297,12573,607,9589,60,,Cet,HD  12573
