cns5_id,gj_id,component_id,n_components,primary_flag,gj_system_primary,gaia_dr3_id,hip_id,ra,dec,epoch,coordinates_bibcode,parallax,parallax_error,parallax_bibcode,pmra,pmra_error,pmdec,pmdec_error,pm_bibcode,rv,rv_error,rv_bibcode,g_mag,g_mag_error,bp_mag,bp_mag_error,rp_mag,rp_mag_error,g_mag_resulting,g_mag_resulting_error,g_rp_resulting,g_rp_resulting_error,g_rp_resulting_flag,cns6_system_id,reference_object_cns5_id,multiplicity_bibcode,remarks
0,Sun,--,1,1,,,,,,,,,,,,,,,,,,,,,,,,,-26.9,0.08190999925136566,0.49,0.13112973695402513,1,0,,,
1,10001,--,1,1,,,,0.05633803966,25.90551781631,2015.5,2018A&A...616A...1G,70.80000305175781,1.9,2012ApJS..201...19D,-19.100000381469727,1.5,126.69999694824219,1.2999999523162842,2012ApJS..201...19D,,,,,,,,,,,,,,,966,,,
2,10002,--,1,1,,2745860763717896448,,0.3139716449868449,6.9928240420935515,2016.0,2020yCat.1350....0G,42.84557364780226,0.07149252,2020yCat.1350....0G,-436.30216732609347,0.04362792894244194,-83.36410707388289,0.022317489609122276,2020yCat.1350....0G,-2.41895,1.5113,2023A&A...674A...1G,14.667376,0.0005897854920231009,16.768501,0.005325507848075683,13.328526,0.0009866869141470231,14.667376,0.0005897854920231009,1.3421904045731832,0.005569971715050684,0,4164,,,
3,10003,--,1,1,,2738415592529108096,,0.5279663700458875,1.2603123108499796,2016.0,2020yCat.1350....0G,48.338110201331055,0.09912541,2020yCat.1350....0G,463.42319955941815,0.11910504847764969,61.253625772899326,0.060484930872917175,2020yCat.1350....0G,5.241,10.137,2019AJ....157..231K,16.345825,0.0010505012685425984,19.533768,0.04461130551016448,14.8181095,0.0016749270631924579,16.345825,0.0010505012685425984,1.5277156829833984,0.0019771023196142683,1,2924,,,
4,1294,A,2,1,,4706564427272810624,169,0.5350214688334541,-68.28020622689202,1991.25,2007A&A...474..653V,58.997634485656235,0.037230015,"2007A&A...474..653V, 2020yCat.1350....0G",209.95,2.1600000858306885,-229.66,1.559999942779541,2007A&A...474..653V,-26.8,10.0,1996AJ....112.2799H,8.920758,0.0002544129253698425,9.751694,0.0006017870618961751,8.020276,0.00031194789335131645,8.590574,0.08194814622402191,0.9589963411146645,0.1311773940571508,2,1231,,,
5,1294,B,2,0,,4706564427272810752,169,0.5413575083856307,-68.28253882344677,2016.0,2020yCat.1350....0G,58.997634485656235,0.037230015,"2007A&A...474..653V, 2020yCat.1350....0G",199.01924464398738,0.020064054057002068,-239.25503487074798,0.01935569755733013,2020yCat.1350....0G,-34.3719,0.192693,2023A&A...674A...1G,10.076243,0.000306192799324066,11.072787,0.002429735421133564,9.072941,0.0009295345522042462,10.076243,0.000306192799324066,0.9950461247260652,0.0029082036896429116,0,1231,,,
6,914,AB,2,1,,2853900872207888768,171,0.5466960564268589,27.07764869795461,2016.0,2020yCat.1350....0G,81.21274237377352,1.8309861,2020yCat.1350....0G,716.4603207703668,0.45197591185569763,-941.4971821960098,0.24190424382686615,2020yCat.1350....0G,-36.22,0.03,2004A&A...424..727P,5.5958757,0.0016344139998501562,5.911563,0.0005858435153696786,4.9825454,0.0027522056166117445,5.5958757,0.0016344139998501562,0.5495915852843779,0.0030996529451875632,0,654,,,
7,915,--,1,1,,4994877094997259264,,0.5484242194982256,-43.16843961826971,2016.0,2020yCat.1350....0G,120.04827897667465,0.044217773,2020yCat.1350....0G,613.7852695338222,0.018288196995854378,-686.9892403643487,0.0174532700330019,2020yCat.1350....0G,48.7,1.1,2020A&A...638A.131N,12.895188,0.0003719637700078033,13.002297,0.0014412802001433566,12.692817,0.0006862302413326978,12.895188,0.0003719637700078033,0.20831370631294882,0.0020586890390354748,0,199,,,
8,3001,--,1,1,,2312821266302222720,,0.6678798143455957,-34.23105221038914,2016.0,2020yCat.1350....0G,67.57199009014079,0.028565476,2020yCat.1350....0G,152.21202068711423,0.020877258852124214,-762.2205527349851,0.023322226479649544,2020yCat.1350....0G,,,,14.880702,0.0004541552075551986,15.114378,0.0025641015597135906,14.485158,0.001647585214106297,14.880702,0.0004541552075551986,0.3963452931459991,0.0033134806240971686,0,1107,,,
9,10004,--,1,1,,4923590430409730048,,0.8231047982155286,-55.27579710687879,2016.0,2020yCat.1350....0G,42.041179751013736,0.039620593,2020yCat.1350....0G,448.84364821723204,0.014388857409358025,-235.6792090508588,0.014541789889335632,2020yCat.1350....0G,20.4561,1.65466,2023A&A...674A...1G,13.678205,0.00033339279967466374,15.3844595,0.001891407502485768,12.430521,0.0006681456749638971,13.678205,0.00033339279967466374,1.249887381584509,0.0023903641947269063,0,4409,,,
