source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,non_single_star,teff_gspphot,logg_gspphot,lum_flame,radius_flame,spectraltype_esphs,classprob_dsc_combmod_star,best_class_name,best_class_score
630505494719360,8.457596,9.291474,7.5637836,1.7276907,-31.353418,0.1720639,NOT_AVAILABLE,0,,,,,K,0.99944246,,
769456276704128,14.59925,16.752321,13.258915,3.4934063,-51.70547,3.6362717,NOT_AVAILABLE,0,,,,,M,0.99998784,,
3179036008830848,12.101368,14.121774,10.778052,3.3437214,28.16455,0.46345535,NOT_AVAILABLE,0,2962.7512,4.9724,0.0030004985,0.20695946,M,0.9999914,,
4267552520347776,10.885645,12.118934,9.783689,2.3352451,-5.684577,0.19122379,NOT_AVAILABLE,0,,,,,M,0.99296397,,
6452209110182016,12.089319,13.459893,10.933896,2.5259972,58.410362,0.32170182,NOT_AVAILABLE,0,3140.443,4.2402,0.016517192,0.4344701,M,0.99296397,,
8479094371605632,7.7199035,8.189356,7.0859947,1.1033611,28.618938,0.12749301,NOT_AVAILABLE,0,4953.862,4.4942,0.37429455,0.83039105,K,0.99952716,,
9178383766474496,13.900986,15.729731,12.562042,3.1676884,,,NOT_AVAILABLE,0,,,,,,0.999561,,
13000080026782464,13.587292,15.3195305,12.332362,2.9871683,12.515399,2.29248,NOT_AVAILABLE,0,3000.5178,4.7705,0.0036644328,0.22407235,M,0.99648726,,
13533892921879936,17.283665,20.648525,15.741702,4.906823,,,NOT_AVAILABLE,0,,,,,M,0.9999989,,
14163878724940672,7.5868115,8.025208,6.9779572,1.0472512,-16.725706,0.14515549,NOT_AVAILABLE,0,,,,,K,0.99885,,
14912165107085184,13.1844845,15.196664,11.867657,3.3290071,-29.26276,0.67946154,NOT_AVAILABLE,0,2998.476,5.1284,0.0021570842,0.17209633,M,0.9999737,,
16302463200535040,11.09795,12.468008,9.9474325,2.5205755,5.2983284,0.42446265,NOT_AVAILABLE,0,3136.3923,4.1734,0.020196386,0.4818122,M,0.99296397,,
16386404041502592,16.841425,20.399136,15.298224,5.100911,,,NOT_AVAILABLE,0,,,,,M,0.9999989,,
18565464288396416,10.333128,11.952149,9.096833,2.8553162,26.102678,0.28276944,NOT_AVAILABLE,0,3002.6929,4.3483,0.008771255,0.3460773,M,0.9982583,,
18986817760556416,12.859632,14.509055,11.624809,2.8842459,0.54331875,0.7027512,NOT_AVAILABLE,0,3002.5479,4.4773,0.006605648,0.30080944,M,0.99296397,,
19316224572460416,5.4983196,6.019165,4.820522,1.1986432,25.208157,0.1449657,NOT_AVAILABLE,0,,,,,,0.99932396,,
19523203341631104,14.941331,17.13537,13.416851,3.7185192,-43.680573,4.295967,NOT_AVAILABLE,0,,,,,M,0.9999991,,
25488745411919360,8.109455,8.82413,7.2926583,1.5314717,10.817001,0.12288501,NOT_AVAILABLE,0,4192.4834,4.5335,0.15984294,0.7579587,K,0.9997719,,
26283932836820096,10.983215,12.243725,9.866717,2.3770075,-50.709766,0.4842709,VARIABLE,0,,,,,M,0.99296397,SOLAR_LIKE,0.40135306
26367903742260736,12.219473,13.595299,11.067752,2.527547,52.762745,0.5600715,NOT_AVAILABLE,0,3134.3647,4.2568,0.014672945,0.4109348,M,0.99296397,,
27360698317776640,11.885279,13.288116,10.719361,2.5687551,-95.65383,0.80165803,NOT_AVAILABLE,0,3201.0215,4.4473,0.007981216,0.29045364,M,0.99296397,,
31235033696866688,17.217173,20.511425,15.669854,4.841571,,,NOT_AVAILABLE,0,,,,,M,0.9999993,,
