source_id,ra,dec,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_rp_excess_factor,ruwe,ipd_frac_multi_peak,adoptedrv,adoptedrv_error,adoptedrv_refname,radial_velocity_is_valid,gcns_prob,wd_prob,dist_1,dist_16,dist_50,dist_84,xcoord_16,xcoord_50,xcoord_84,ycoord_16,ycoord_50,ycoord_84,zcoord_16,zcoord_50,zcoord_84
630505494719360,46.613135424105224,1.961063920576691,0.021934386,0.01985119,67.9335,0.027434504,389.25305,0.023812708,-925.02625,0.022991313,8.457596,9.291474,7.5637836,1.2952669,1.1065348,0,-31.68627,0.32540607,2018A&A...616A...1G,1,1.0,0.011342593,0.014705826,0.01471402,0.014720151,0.014726251,-10.132268,-10.13649,-10.140691,0.6134957,0.6137513,0.6140056,-10.651909,-10.656347,-10.660763
3179036008830848,48.353258238212746,4.775200170986658,0.037388004,0.03616781,116.267815,0.042744365,1741.8746,0.04745122,86.494385,0.0436992,12.101368,14.121774,10.778052,1.5368904,1.450144,0,26.0,4.0,2014AJ....147...20N,0,1.0,0.05,0.008593605,0.00859754,0.008600809,0.008604059,-6.2507005,-6.253077,-6.2554398,0.499943,0.5001331,0.50032204,-5.8818784,-5.8841147,-5.886338
14912165107085184,47.251989727646745,10.021186116181132,0.02648536,0.021270767,79.45325,0.02760114,286.34308,0.039579593,-586.2968,0.02931335,13.1844845,15.196664,11.867657,1.5292645,1.3847069,0,-31.616,4.472,2015ApJS..220...16T,0,1.0,0.118290596,0.012576267,0.012581516,0.0125857415,0.012589941,-9.467498,-9.470678,-9.473838,1.7435625,1.744148,1.74473,-8.100679,-8.1034,-8.106104
18565464288396416,39.07167733324421,6.8780898981735605,0.035586603,0.032272045,138.43709,0.041985847,1801.6715,0.043110535,1450.4869,0.037766326,10.333128,11.952149,9.096833,1.4776589,1.8051597,0,26.268,0.0017,2018A&A...616A...7S,0,1.0,0.19335017,0.0072183334,0.007221371,0.007223414,0.0072258245,-4.6707664,-4.6720877,-4.673647,1.386119,1.3865111,1.3869739,-5.3301797,-5.3316875,-5.333467
19316224572460416,39.02838450657828,6.8933391075785275,0.3217272,0.21676202,138.34,0.31773403,1778.5854,0.4300584,1477.3062,0.24807107,5.4983196,6.019165,4.820522,1.2347153,7.2789974,0,25.23315,0.12557457,2018A&A...616A...1G,1,0.96,0.11789021,0.0071897847,0.0072127236,0.007230399,0.0072457925,-4.662476,-4.6739016,-4.6838527,1.3894123,1.3928173,1.3957825,-5.324869,-5.3379188,-5.3492827
25488745411919360,41.57318460023838,11.774298748593672,0.02540009,0.022414424,61.891018,0.027970409,263.88306,0.032985013,-211.57578,0.02844797,8.109455,8.82413,7.2926583,1.2686538,1.0998586,0,10.848888,0.1400045,2018A&A...616A...1G,1,1.0,0.075392246,0.016140485,0.016149757,0.016157169,0.016164785,-11.40683,-11.412064,-11.417444,3.6390128,3.6406827,3.642399,-10.837735,-10.842709,-10.84782
27360698317776640,44.38732619280261,10.788296530863727,0.028530376,0.023191446,61.060577,0.03349013,1754.3859,0.03254545,-419.31433,0.0281424,11.885279,13.288116,10.719361,1.4311295,1.4168742,0,49.0,5.0,1953GCRV..C......0W,0,1.0,0.13170996,0.016357295,0.016368516,0.016377263,0.016385734,-11.93694,-11.943319,-11.949497,2.9630742,2.9646575,2.966191,-10.800831,-10.8066025,-10.812193
31235033696866688,48.51322023809659,16.051276290714064,0.16874677,0.13259384,72.63052,0.19024242,-242.95473,0.18599853,-54.85265,0.15765223,17.242668,20.511425,15.669854,1.8277218,1.1036614,0,,,,0,1.0,0.09276224,0.0136877,0.013729445,0.013763859,0.01380171,-10.949305,-10.976749,-11.006936,2.7577598,2.7646725,2.7722752,-7.810579,-7.830157,-7.85169
33732162042339072,41.64079022240677,16.416972047012635,0.051598016,0.04547346,71.60476,0.057644315,-831.5332,0.060153704,-569.02466,0.0553611,14.552517,17.205729,13.133217,1.6186969,1.332122,0,,,,0,1.0,0.16908309,0.013939003,0.013953151,0.013964859,0.013976638,-10.224639,-10.233218,-10.24185,3.9320211,3.9353204,3.9386396,-8.642129,-8.64938,-8.656675
35227046884571776,43.26964247679057,16.86437381897744,0.07458868,0.076965086,260.98843,0.09342672,3429.0828,0.087942876,-3805.541,0.08326042,12.263103,15.31863,10.790128,1.6780396,1.3042897,0,63.0,5.0,2014AJ....147...20N,0,1.0,0.15240741,0.0038285817,0.0038303498,0.0038317323,0.0038330988,-2.8786533,-2.8796923,-2.8807192,1.0312182,1.0315903,1.0319582,-2.3068428,-2.3076754,-2.3084984
43574131143039104,58.17597943609416,17.014956629753385,0.08215132,0.052013546,103.50079,0.08819867,433.18298,0.106628865,-645.3686,0.06898687,12.176142,14.07321,10.8709,1.5269502,3.7299998,4,28.0,5.0,2014AJ....147...20N,0,1.0,0.14263588,0.0096424995,0.0096527515,0.009661036,0.009669209,-8.48381,-8.491091,-8.498275,1.0262115,1.0270921,1.027961,-4.4885926,-4.4924445,-4.496245
